Site Name,Site Score,Site EPA ID,SEMS ID,Region ID,State,City,County,Status,Latitude,Longitude,Proposed Date,Listing Date,Construction Completion Date,Construction Completion Number,NOID Date,Deletion Date,Site Listing Narrative,Site Progress Profile,Proposed FR Notice,Listing FR Notice,NOID FR Notice,Deletion FR Notice,Restoration FR Notice Jumper Page,Site has had a Partial Deletion,x,y
Mill Creek Dump,49.31,PAD980231690,301185,3,Pennsylvania,Erie,Erie,NPL Site,42.093331,-80.152781,9/8/1983,9/21/1984,9/26/2001,788,,,"<a href=""https://semspub.epa.gov/src/document/03/900309"" target=""_blank"">PAD980231690 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301185"" target=""_blank"">Mill Creek Dump</a>","<a href=""https://semspub.epa.gov/src/document/11/189640"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189627"" target=""_blank"">09/21/1984 (PDF)</a>",,,,No,-8922566.767,5174970.244
Moyers Landfill,37.62,PAD980508766,301226,3,Pennsylvania,Eagleville,Montgomery,Deleted NPL Site,40.155561,-75.433611,12/30/1982,9/8/1983,9/17/2002,826,3/27/2014,5/27/2014,"<a href=""https://semspub.epa.gov/src/document/03/900310"" target=""_blank"">PAD980508766 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301226"" target=""_blank"">Moyers Landfill</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2014-03-27/pdf/2014-06812.pdf"" target=""_blank"">03/27/2014 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2014-03-27/pdf/2014-06811.pdf"" target=""_blank"">05/27/2014 (PDF)</a>",,No,-8397231.165,4888573.797
Old City of York Landfill,33.93,PAD980692420,301441,3,Pennsylvania,Seven Valleys,York,NPL Site,39.840281,-76.759719,12/30/1982,9/8/1983,9/27/1996,393,,,"<a href=""https://semspub.epa.gov/src/document/03/900311"" target=""_blank"">PAD980692420 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301441"" target=""_blank"">Old City of York Landfill</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>",,,,No,-8544852.833,4842759.423
Osborne Landfill,54.6,PAD980712673,301541,3,Pennsylvania,Grove City,Mercer,NPL Site,41.161111,-80.058331,12/30/1982,9/8/1983,9/21/1998,540,,,"<a href=""https://semspub.epa.gov/src/document/03/900312"" target=""_blank"">PAD980712673 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301541"" target=""_blank"">Osborne Landfill</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>",,,,No,-8912052.641,5036134.622
Palmerton Zinc Pile,42.93,PAD002395887,300624,3,Pennsylvania,Palmerton,Carbon,NPL Site,40.808331,-75.583339,12/30/1982,9/8/1983,,0,,,"<a href=""https://semspub.epa.gov/src/document/03/900313"" target=""_blank"">PAD002395887 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300624"" target=""_blank"">Palmerton Zinc Pile</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>",,,,"<a href=""https://www.epa.gov/superfund/partially-deleted-national-priorities-list-npl-sites-site-name"" target=""_blank"">Yes</a>",-8413898.81,4984111.504
Presque Isle,40.59,PAD980508865,301229,3,Pennsylvania,Erie,Erie,Deleted NPL Site,42.1497,-80.1333,12/30/1982,9/8/1983,3/8/1988,20,7/28/1988,2/13/1989,"<a href=""https://semspub.epa.gov/src/document/03/900314"" target=""_blank"">PAD980508865 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301229"" target=""_blank"">Presque Isle</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/03/900056"" target=""_blank"">07/28/1988 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/03/900399"" target=""_blank"">02/13/1989 (PDF)</a>",,No,-8920398.152,5183430.222
Resin Disposal,37.69,PAD063766828,301042,3,Pennsylvania,Jefferson Borough,Allegheny,Deleted NPL Site,40.2705,-79.9124,12/30/1982,9/8/1983,11/20/1996,412,8/22/2003,10/21/2003,"<a href=""https://semspub.epa.gov/src/document/03/900315"" target=""_blank"">PAD063766828 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301042"" target=""_blank"">Resin Disposal</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2003-08-22/pdf/03-21597.pdf"" target=""_blank"">08/22/2003 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2003-08-22/pdf/03-21596.pdf"" target=""_blank"">10/21/2003 (PDF)</a>",,No,-8895807.676,4905328.815
Stanley Kessler,33.89,PAD014269971,300862,3,Pennsylvania,King of Prussia,Montgomery,NPL Site,40.083889,-75.355,12/30/1982,9/8/1983,11/2/1998,586,,,"<a href=""https://semspub.epa.gov/src/document/03/900316"" target=""_blank"">PAD014269971 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300862"" target=""_blank"">Stanley Kessler</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>",,,,No,-8388480.229,4878140.299
Taylor Borough Dump,30.94,PAD980693907,301506,3,Pennsylvania,Taylor Borough,Lackawanna,Deleted NPL Site,41.407219,-75.718331,9/8/1983,9/21/1984,12/31/1988,33,8/19/1999,9/30/1999,"<a href=""https://semspub.epa.gov/src/document/03/900317"" target=""_blank"">PAD980693907 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301506"" target=""_blank"">Taylor Borough Dump</a>","<a href=""https://semspub.epa.gov/src/document/11/189640"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189627"" target=""_blank"">09/21/1984 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1999-08-19/pdf/99-21316.pdf"" target=""_blank"">08/19/1999 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1999-09-30/pdf/99-25433.pdf"" target=""_blank"">09/30/1999 (PDF)</a>",,No,-8428926.051,5072593.199
Voortman Farm,28.62,PAD980692719,301453,3,Pennsylvania,Upper Saucon Township,Lehigh,Deleted NPL Site,40.547,-75.4475,12/30/1982,9/8/1983,3/9/1989,35,3/24/1989,5/31/1989,"<a href=""https://semspub.epa.gov/src/document/03/900318"" target=""_blank"">PAD980692719 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301453"" target=""_blank"">Voortman Farm</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/03/900059"" target=""_blank"">03/24/1989 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/03/900402"" target=""_blank"">05/31/1989 (PDF)</a>",,No,-8398777.282,4945752.144
